Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2021-16,19/04/2021,151,23/04/2021,145,145.5,814,1982207,293433317.8,23-04-2021,5
2021-15,15/04/2021,151.5,16/04/2021,149,149.75,585,5679429,854513837.5,16-04-2021,3
2021-14,9/4/21,151,8/4/21,148,150.75,835,6017885,899491357.8,9/4/21,5
2021-13,1/4/21,150.75,31/03/2021,148.25,150,400,3374895,505482060,1/4/21,4
12/1/21,23/03/2021,153,24/03/2021,148,149,626,5972054,895333338.3,26-03-2021,5
11/1/21,17/03/2021,153,19/03/2021,147.5,147.75,913,2490392,369731693.3,19-03-2021,5
10/1/21,9/3/21,152,10/3/21,148,149.75,748,3268011,490105477.8,12/3/21,4
9/1/21,2/3/21,158.75,5/3/21,146.25,148.75,1306,7285028,1107842094,5/3/21,5
8/1/21,22/02/2021,159,23/02/2021,150.5,152.25,744,2473574,377291096,25-02-2021,4
7/1/21,15/02/2021,163,17/02/2021,153.25,160,1509,9084315,1445334973,19-02-2021,5
6/1/21,8/2/21,160,11/2/21,148,154.25,1797,8167164,1252096947,12/2/21,5
5/1/21,1/2/21,171.75,2/2/21,154,155.25,2205,7257729,1159338130,5/2/21,4
4/1/21,25/01/2021,187,29/01/2021,165.5,167,3958,18804342,3270148316,29-01-2021,4
3/1/21,22/01/2021,177,20/01/2021,154.5,168.25,2707,21139146,3408448343,22-01-2021,5
2/1/21,15/01/2021,162,11/1/21,149,160,1134,4201468,656236733,15-01-2021,4
1/1/21,5/1/21,151,7/1/21,148.1,149,842,5363059,800991957.3,8/1/21,5
2020-53,30/12/2020,154,28/12/2020,147.7,149.6,700,6400596,959973488.7,31-12-2020,3
2020-52,21/12/2020,151.3,23/12/2020,144,148.4,932,5202491,767919062.6,24-12-2020,4
2020-51,14/12/2020,153.9,16/12/2020,149.1,150,1045,5740423,867556033,18-12-2020,5
2020-50,11/12/20,153,7/12/20,150.2,152,1152,8487132,1289221165,11/12/20,5
2020-49,3/12/20,151,30/11/2020,147.1,150,995,5576470,832688383.2,4/12/20,5
2020-48,27/11/2020,148.5,23/11/2020,141.4,148,1132,4284418,624569159.6,27-11-2020,5
2020-47,20/11/2020,142.1,16/11/2020,139.5,141.3,695,2388994,336707913.1,20-11-2020,5
2020-46,12/11/20,142.9,9/11/20,136.2,141.2,1510,4187021,583397087.8,13-11-2020,5
2020-45,6/11/20,137,2/11/20,129,136.1,1105,3538318,470756734.4,6/11/20,5
